,mainVariableName,sub0,sub1,sub2
1265,4,4,5,1
1266,1,2,7,2
1267,1,4,9,1
1268,1,5,8,5
1269,0,3,8,10
1270,0,5,9,0
1271,0,5,1,5
1272,3,7,6,6
1273,3,9,9,2
1274,3,3,9,7
1275,4,3,4,8
1276,4,7,2,8
1277,4,2,4,9
1278,4,3,7,7
1279,4,4,2,9
1280,4,8,5,6
1281,0,9,7,3
1282,0,3,6,7
1283,0,4,4,7
1284,1,1,1,4
1285,1,9,3,7
1286,1,0,5,6
1287,1,9,7,9
1288,1,3,8,0
1289,1,0,2,2
1290,1,0,0,5
1291,1,9,0,5
1292,1,5,0,8
1293,0,3,6,0
1294,0,1,4,8
1295,0,5,8,0
1296,0,7,3,8
1297,0,2,2,4
1298,0,9,6,0
1299,4,9,4,6
1300,4,5,5,1
1301,4,8,4,6
1302,1,2,5,1
1303,1,10,5,0
1304,1,1,8,4
1305,5,8,4,3
1306,5,9,0,3
1307,5,2,1,3
1308,2,4,1,3
1309,2,8,1,0
1310,2,7,7,2
1311,4,8,4,2
1312,4,8,7,4
1313,4,9,8,4
1314,4,0,3,1
1315,4,8,8,0
1316,4,4,2,0
1317,0,1,4,7
1318,0,4,4,6
1319,0,1,3,9
1320,0,4,4,9
1321,0,9,4,2
1322,0,2,9,7
1323,3,9,5,6
1324,3,7,3,2
1325,3,9,5,4
1326,3,4,0,2
1327,3,7,5,6
1328,3,6,9,5
1329,1,3,5,9
1330,1,5,6,6
1331,1,8,1,4
1332,0,4,9,9
1333,0,9,3,2
1334,0,2,9,0
1335,0,9,3,0
1336,0,3,5,0
1337,0,5,8,7
1338,0,4,8,2
1339,0,7,5,9
1340,0,1,7,9
1341,0,8,2,3
1342,0,2,5,3
1343,0,8,5,6
1344,3,7,5,2
1345,3,7,5,2
1346,3,2,0,4
1347,4,2,8,4
1348,4,7,2,9
1349,4,7,1,9
